,word,count
0,the,757
1,to,375
2,of,333
3,a,323
4,in,311
5,and,266
6,covid,218
7,says,217
8,is,190
9,coronavirus,184
10,that,169
11,for,169
12,are,143
13,on,106
14,from,105
15,people,104
16,have,98
17,not,90
18,has,81
19,with,81
20,it,80
21,you,74
22,was,68
23,this,64
24,trump,62
25,as,57
26,vaccine,56
27,all,56
28,be,55
29,we,53
30,they,52
31,pandemic,51
32,at,51
33,than,49
34,will,48
35,president,48
36,masks,48
37,more,44
38,new,43
39,virus,42
40,if,41
41,can,40
42,by,40
43,bill,39
44,who,38
45,us,38
46,no,37
47,been,37
48,he,36
49,deaths,36
50,or,35
51,states,35
52,your,35
53,because,34
54,now,34
55,their,33
56,an,33
57,donald,33
58,mask,32
59,its,32
60,cases,32
61,said,31
62,state,30
63,cdc,30
64,get,30
65,were,30
66,up,30
67,had,29
68,so,29
69,shows,28
70,i,28
71,about,28
72,only,28
73,health,28
74,flu,27
75,do,26
76,died,26
77,but,26
78,rate,26
79,out,26
80,year,25
81,there,25
82,his,25
83,just,25
84,going,25
85,other,23
86,china,23
87,gov,22
88,over,22
89,wearing,22
90,during,22
91,one,22
92,test,22
93,fauci,21
94,biden,21
95,million,21
96,gates,20
97,after,20
98,when,20
99,york,20
100,them,20
101,world,20
102,being,20
103,like,20
104,american,19
105,would,19
106,two,19
107,testing,19
108,before,18
109,while,18
110,down,18
111,death,18
112,what,18
113,vaccines,17
114,into,17
115,our,17
116,some,17
117,may,17
118,photo,17
119,dr,16
120,relief,16
121,administration,16
122,anthony,16
123,under,16
124,north,16
125,government,16
126,any,15
127,which,15
128,against,15
129,getting,15
130,americans,15
131,florida,15
132,should,15
133,positive,15
134,wear,15
135,obama,15
136,very,15
137,michigan,15
138,years,15
139,joe,14
140,money,14
141,number,14
142,country,14
143,carolina,14
144,…,14
145,—,14
146,never,13
147,dont,13
148,did,13
149,even,13
150,without,13
151,work,13
152,days,13
153,wisconsin,13
154,first,13
155,go,13
156,order,13
157,home,13
158,per,13
159,time,12
160,every,12
161,federal,12
162,since,12
163,kill,12
164,city,12
165,actually,12
166,due,12
167,risk,12
168,through,12
169,saying,12
170,times,12
171,spread,12
172,tests,12
173,almost,12
174,corona,12
175,outbreak,12
176,patients,12
177,need,11
178,how,11
179,stimulus,11
180,pelosi,11
181,funding,11
182,back,11
183,medical,11
184,trumps,11
185,everyone,11
186,workers,11
187,children,11
188,hospitals,11
189,my,11
190,governors,11
191,travel,11
192,killed,11
193,her,11
194,study,10
195,months,10
196,march,10
197,democrats,10
198,die,10
199,nancy,10
200,theres,10
201,most,10
202,last,10
203,still,10
204,know,10
205,got,10
206,essential,10
207,same,10
208,way,10
209,make,10
210,hours,10
211,hydroxychloroquine,10
212,face,10
213,vote,10
214,nothing,10
215,think,10
216,countries,10
217,cant,9
218,job,9
219,free,9
220,help,9
221,texas,9
222,house,9
223,video,9
224,give,9
225,these,9
226,law,9
227,republicans,9
228,say,9
229,used,9
230,could,9
231,lockdown,9
232,orders,9
233,election,9
234,homes,9
235,governor,9
236,united,9
237,person,9
238,doing,9
239,wuhan,9
240,billion,9
241,hospital,9
242,three,9
243,stayathome,9
244,where,9
245,case,8
246,plan,8
247,act,8
248,found,8
249,receive,8
250,kids,8
251,vaccinated,8
252,trying,8
253,unemployment,8
254,day,8
255,right,8
256,show,8
257,reported,8
258,high,8
259,quarantine,8
260,news,8
261,called,8
262,closed,8
263,military,8
264,don't,8
265,lab,8
266,mail,8
267,hoax,8
268,public,8
