,word,count
0,新冠,153
1,病毒,76
2,肺炎,74
3,感染,48
4,疫情,39
5,新型,31
6,冠状病毒,30
7,可以,26
8,开学,26
9,患者,21
10,美国,20
11,疫苗,19
12,确诊,19
13,隔离,18
14,意大利,17
15,治疗,17
16,口罩,17
17,武汉,16
18,北京,16
19,中国,15
20,钟南山,14
21,检测,12
22,预防,12
23,传播,11
24,导致,10
25,时间,10
26,有效,10
27,确定,10
28,死亡,9
29,10,9
30,爆发,9
31,核酸,8
32,医院,8
33,视频,8
34,上海,8
35,期间,8
36,20,8
37,病人,8
38,阳性,7
39,不能,7
40,出现,7
41,去世,7
42,通过,7
43,年级,7
44,日起,7
45,发现,6
46,病例,6
47,全国,6
48,健康,6
49,院士,6
50,抗体,6
51,可能,6
52,日本,6
53,风险,6
54,高三,6
55,学校,6
56,韩国,6
57,来自,5
58,西班牙,5
59,员工,5
60,封城,5
61,30,5
62,宣布,5
63,成都,5
64,研究,5
65,新增,5
66,青岛,5
67,14,5
68,印度,5
69,因新冠,5
70,16,5
71,大量,5
72,使用,5
73,公布,5
74,初三,5
75,日前,5
76,湖北,5
77,接种,4
78,15,4
79,陆续,4
80,抵达,4
81,抗击,4
82,已经,4
83,感染者,4
84,所有,4
85,夫妇,4
86,说明,4
87,免疫,4
88,防疫,4
89,病毒检测,4
90,治愈,4
91,医疗,4
92,氯喹,4
93,确认,4
94,教育厅,4
95,中小学,4
96,通告,4
97,消毒,4
98,政府,4
99,全部,4
100,预测,4
101,国家,4
102,变异,3
103,流行,3
104,康复者,3
105,容易,3
106,直接,3
107,出新,3
108,建议,3
109,死亡率,3
110,突变,3
111,曝光,3
112,人类,3
113,辉瑞,3
114,有效率,3
115,各地,3
116,流出,3
117,取消,3
118,外国人,3
119,市政府,3
120,特效药,3
121,11,3
122,影响,3
123,结果,3
124,无症状,3
125,特朗普,3
126,省市,3
127,能够,3
128,群体,3
129,组织,3
130,人数,3
131,人体,3
132,以上,3
133,地区,3
134,人员,3
135,回国,3
136,发地,3
137,研发,3
138,全面,3
139,欧洲,3
140,暂停,3
141,入境,3
142,就是,3
143,生产,3
144,抑制,3
145,外出,3
146,出口,3
147,北京市,3
148,论文,3
149,返校,3
150,27,3
151,医生,3
152,恢复,3
153,携带,3
154,2020,3
155,正式,3
156,通知,3
157,26,3
158,消毒剂,3
159,免费,3
160,球员,3
161,接触,3
162,幼儿园,3
163,湖南,3
164,合格,3
165,一样,3
166,要求,3
167,捐赠,3
168,源头,3
169,多人,3
170,不是,2
171,完全,2
172,失去,2
173,流感病毒,2
174,居家,2
175,清单,2
176,比尔,2
177,盖茨,2
178,打新冠,2
179,养老院,2
180,失效,2
181,科学家,2
182,世界卫生组织,2
183,天内,2
184,检出,2
185,所以,2
186,电梯,2
187,29,2
188,时间表,2
189,憋气,2
190,东京,2
191,石家庄,2
192,人民,2
193,大连,2
194,女性,2
195,女子,2
196,照片,2
197,消失,2
198,去年,2
199,2019,2
200,航班,2
201,启动,2
202,抗疫,2
203,国庆,2
204,旅游,2
205,12,2
206,防控,2
207,不用,2
208,码会,2
209,变色,2
210,荷兰,2
211,水貂,2
212,宿主,2
213,13,2
214,男性,2
215,获得,2
216,意味着,2
217,无效,2
218,卫生部长,2
219,不戴,2
